epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,198.918,0.18743,0.8125,1,0.40411,0.000553962,0.000553962,0.000553962
2,311.64,0.28072,0.8125,1,0.50969,0.0010547,0.0010547,0.0010547
3,422.284,0.22906,0.8125,1,0.73872,0.00150043,0.00150043,0.00150043
4,534.234,0.22125,0.8125,1,0.30797,0.00141945,0.00141945,0.00141945
5,645.08,0.19206,0.9375,1,0.18738,0.00133693,0.00133693,0.00133693
6,748.844,0.18278,0.875,1,0.30376,0.00125442,0.00125442,0.00125442
7,856.641,0.17152,0.9375,1,0.18594,0.0011719,0.0011719,0.0011719
8,985.789,0.16152,0.875,1,0.21427,0.00108938,0.00108938,0.00108938
9,1096.32,0.16445,0.9375,1,0.23503,0.00100687,0.00100687,0.00100687
10,1212.12,0.15551,0.8125,1,0.33168,0.000924352,0.000924352,0.000924352
11,1334.34,0.14661,0.875,1,0.25246,0.000841835,0.000841835,0.000841835
12,1455.29,0.13224,0.875,1,0.23674,0.000759318,0.000759318,0.000759318
13,1622.89,0.13277,0.875,1,0.27751,0.000676802,0.000676802,0.000676802
14,1734.46,0.12324,0.875,1,0.3373,0.000594286,0.000594286,0.000594286
15,1837.3,0.12245,1,1,0.15386,0.000511769,0.000511769,0.000511769
16,1944.34,0.12648,0.875,1,0.21964,0.000429253,0.000429253,0.000429253
17,2047.85,0.11674,0.9375,1,0.206,0.000346736,0.000346736,0.000346736
18,2156.33,0.11643,0.9375,1,0.21088,0.00026422,0.00026422,0.00026422
19,2262.44,0.10335,0.9375,1,0.21509,0.000181703,0.000181703,0.000181703
20,2368.99,0.11183,0.9375,1,0.2227,9.91865e-05,9.91865e-05,9.91865e-05
